Numero Veiculo,Placa,Tipo de Veiculo,Data,Km Percorrido,Diesel,Km Diesel,Motor,Km Motor,Dies Mot,Custo Combustivel
103010,LUI9D53,5 - URBANO COM AR,1-May-25,3451,1478,2.33,0,0,0,8779.32
103012,LUI9D55,5 - URBANO COM AR,1-May-25,3569,1473,2.42,0,0,0,8749.62
103014,RIW5F85,5 - URBANO COM AR,1-May-25,3477,1461.9,2.38,0,0,0,8683.69
103019,LUI9D54,5 - URBANO COM AR,1-May-25,3325,1436,2.32,0,0,0,8529.84
103020,RIO3G91,5 - URBANO COM AR,1-May-25,3720,1564.1,2.38,0,0,0,9290.75
103023,LUI9D56,5 - URBANO COM AR,1-May-25,3471,1529.5,2.27,0,0,0,9085.23
103024,RIW5F84,5 - URBANO COM AR,1-May-25,3327,1424.3,2.34,0,0,0,8460.34
103025,SQZ3E24,5 - URBANO COM AR,1-May-25,3739,1628,2.3,0,0,0,9670.32
103027,SQY4G96,5 - URBANO COM AR,1-May-25,3903,1755.7,2.22,0,0,0,10428.86
103029,RIO3G92,5 - URBANO COM AR,1-May-25,3926,1786.9,2.2,0,0,0,10614.19
103030,RIO3G90,5 - URBANO COM AR,1-May-25,3751,1637.4,2.29,0,0,0,9726.16
103031,SRU3C02,5 - URBANO COM AR,1-May-25,2986,1361,2.19,0,0,0,8084.34
103039,RIO3G93,5 - URBANO COM AR,1-May-25,3655,1609,2.27,0,0,0,9557.46
103042,SRU3C88,5 - URBANO COM AR,1-May-25,3644,1693.8,2.15,0,0,0,10061.17
103043,SRW4I13,5 - URBANO COM AR,1-May-25,3232,1530.8,2.11,0,0,0,9092.95
103044,SRW4I10,5 - URBANO COM AR,1-May-25,3561,1538,2.32,0,0,0,9135.72
103045,SRW4I04,5 - URBANO COM AR,1-May-25,2927,1249.2,2.34,0,0,0,7420.25
103046,SRW4I06,5 - URBANO COM AR,1-May-25,3814,1548.1,2.46,0,0,0,9195.71
103049,KRY7730,5 - URBANO COM AR,1-May-25,4143,1783.4,2.32,0,0,0,10593.4
103050,KRY7731,5 - URBANO COM AR,1-May-25,4764,1892.9,2.52,0,0,0,11243.83
103051,LTC9024,5 - URBANO COM AR,1-May-25,4570,1834,2.49,0,0,0,10893.96
103052,LTC9025,5 - URBANO COM AR,1-May-25,3990,1693.5,2.36,0,0,0,10059.39
103053,KRY6881,5 - URBANO COM AR,1-May-25,4939,1951.3,2.53,0,0,0,11590.72
103055,LTF7122,5 - URBANO COM AR,1-May-25,4471,1779.4,2.51,0,0,0,10569.64
103057,KRY6882,5 - URBANO COM AR,1-May-25,3965,1615.2,2.45,0,0,0,9594.29
